# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00002000   ---        --------
               6   N   00002000   0000e101   00002004   x10_a0     00000000
               7   N   00002004   00004e01   00002006   ---        --------
               8   N   00002006   fffff297   00002008   x28_t3     00000000
               9   N   00002008   ff828293   0000200c   x05_t0     00001008
              10   N   0000200c   30529073   00002010   x05_t0     00001000
              11   N   00002010   00004505   00002014   ---        --------
              12   N   00002014   0000057e   00002016   x10_a0     00000001
              13   N   00002016   00054863   00002018   x10_a0     80000000
              14   N   00002018   0ff0000f   00002028   ---        --------
              17   N   00002028   00028f63   0000202c   x05_t0     00000000
              18   N   0000202c   10529073   0000204a   ---        --------
              22   N   0000204a   00006509   0000204e   ---        --------
              23   N   0000204e   00006509   0000204e   ---        --------
              24   N   0000204e   80050513   00002050   x10_a0     00002000
              25   N   00002050   30052073   00002054   x10_a0     00001800
              26   N   00002054   00000297   00002058   ---        --------
              27   N   00002058   00000297   00002058   ---        --------
              28   N   00002058   6b628293   0000205c   x05_t0     00002058
              29   N   0000205c   34129073   00002060   x05_t0     0000270e
              30   N   00002060   f1402573   00002064   ---        --------
              31   N   00002064   30200073   00002068   x10_a0     00000000
              33   N   00002068   00000000   0000270e   ---        --------
              36   N   0000270e   00200e13   00002710   ---        --------
              37   N   00002710   00000000   00002714   x28_t3     00000002
              38   E   00002714   00000000   00001000   mstatus    00001800
              38   E   00002714   00000000   00001000   mepc       00002714
              38   E   00002714   00000000   00001000   mcause     00000002
              38   E   00002714   00000000   00001000   mtval      00000000
              41   N   00001000   000047a1   00001004   x14_a4     00000002
              42   N   00001004   04f70263   00001006   x15_a5     00000008
              43   N   00001006   000047a5   0000100a   ---        --------
              44   N   0000100a   02f70f63   0000100c   x15_a5     00000009
              45   N   0000100c   000047ad   00001010   ---        --------
              46   N   00001010   02f70c63   00001012   x15_a5     0000000b
              47   N   00001012   47ad0837   00001016   ---        --------
              49   N   00001016   02f71897   0000101a   x16_a6     f0000000
              51   N   0000101a   f0008893   0000101e   x17_a7     0000201a
              53   N   0000101e   00008783   00001022   x17_a7     00002700
              56   N   00001022   0000c791   00001026   x15_a5     00000069
              57   N   00001026   00f82023   00001028   ---        --------
              59   N   00001028   00000885   0000102c   ---        --------
              60   N   0000102c   ff5ff06f   0000102e   x17_a7     00002701
              61   N   0000102e   08852717   00001022   ---        --------
